영화평점,영화감상평
2,너무기대해서인지? 원이랑스토리가 다를게없다
7,볼만해요
10,ott의 시대가 도래했음에도 불구하고 영화관이 계속 남아있어야 하는 이유. 아바타2는 무조건 영화관에서 봐야하는 영화다.
8,영상?CG는 최고점수지만 스토리나 개연성으로는 다큐멘터리 영화나 가족영화 느낌나서 진부할수도... 그래도 수중 다큐멘터리 좋아하는 사람이라면 3시간동안 집중해서 볼수 있는 영화
10,아바타1을 13살때 보고 26살이 되어서 아바타2를 봤네요. 처음에 보고 느꼈던 감동과 재미를 또 한번 느꼈습니다. 너무 재밌게 봤어요
2,내가1점을주는이유는 대위가 죽다 아바타로 환생할거면 1편에서 주인공남자 형 도 아바타도살리고여자박사님도 살릴수있는거아닌가요?내용이 뒤죽박죽 앞뒤안맞는내용넘심하구요그래픽 cg 넘 좋습니다 스포있지만 마지막 대위또살았네요 울며겨자먹기식 얼마나우려먹으려고대위살렸네요 대위솔직히 목졸라죽였는데 어찌사는지 거참 어이가없네 스토리 폭망 하지만 그래픽인정 제솔직한후기 였습니다
1,불면증있는 분들에게 강추! 3시간 훅갑니다잉~
10,나만 운거야? 결혼전 아가씨 상태로 본걸 아줌마되서 애둘 데리고 와서 보니 뭔가 부모의 마음에서 봐서 그런지 막판에 혼자 울었다. ㅇㅇ가족은 하나다. 영화 끝나고 아이들과 같이 되새기며 말함.
5,이번 영화본다고 전편 생각하고 오지 마세요. 느낌 전혀 다릅니다. 솔직히 영상미 높은 가족영화가 됐네요. 영상미 10점스토리 01점
2,동물의 왕국에서 타이타닉 되는 신기한 스토리
10,3시간을 볼수있나 했는데 한시간반 같았습니다.최고!
9,"영상미와 액션은 미쳤습니다... 그것만으로도 볼 가치는 충분합니다. 스파이더 캐릭터는 어울리지 않고 붕 뜨고 있으며 등장하는 이유도 개연성도 억지, 연기도 별로 였습니다. 스파이더만 없었더라면 10점"
10,넘재밌어요 3시간 순삭
10,아바타가 아바타 했다. 왜 안 보세요? 내 온 세상이 아바타가 되는 순간을 느껴보세요.. : )
8,그래픽영상연출은 훌륭하나 가족주의와 개인적복수관계 스토리로 아바타만의 사회적인 메세지나 테마가 빈약하게 느껴진 2편이었다.
9,올해 본 영화중 배스트였다
10,아이고 익후야.. 기절시켰으면 확킬을 찍어야지..
10,중간에서 살짝 지루할수는 있지만재밌게봤다 역시 아바타3편이야기가 기대됨
10,완벽한 속편...5편까지 기대 안 할 수가 없다.
7,바다와 가족의 이야기.긴 러닝타임을 버텨라
8,솔직히 영상미야 말해뭐해 갓아바타인데 스토리가..빌런도 너무 아쉽게 도망가고..스토리가..쩝..전 내심 수중전투도 바랬는데 여러모로 아쉬워요 하지만 3편 기대해볼게여
10,이거 평점 이 왜 이따구?? cg도 말이 안되는데 평점도 말이 안되네 10점은 되어야 함 일평생 영화관에서 2번본 영화는 없는데 이건 2번 3번 볼것같음
10,영상미 미쳤음...제발 보세요
10,또 보고 싶읆 만큼 너무 재미있었다.. 감동도..ㅠㅠ
10,"엄청난 영화군요. 실제로 이정도 수중경험을 하려면 돈 수백들여야 합니다. 그것도 날씨가 좋아야 하구요. 이걸 몇만원에 편하게 극장에서 3시간동안 즐길수 있다니요, 가성비 정말 쩝니다. 3d로 2회차 봤는데 몇번 더 볼 생각이에요. 1회차에 못느낀 점을 느낄수 있어서 좋았구요, 감동도 더 느낄 수 있었네요."
10,스토리는 진부하지만 영상은 최고다
4,영화에서 볼거리가 영상미가 전부. 스토리 얄팍하기 짝이 없는데다 개연성도 거지같음. 3시간은 과했음. 너무 지루함. 영화가 아니라 기술팀 홍보 영상.
9,지구 저궤도 겨우 올라가는데 5~6억인데 판도라 여행 2만원이면 싸네
10,영화는 재미는 군데군데 있고 역시 아바타는 그래픽과 감동으로 보는 영화인것 같아요~~ 영화는 좋았는데 다만 시간이 너무 길어 -제이크 설리-“강인한 마음을 먹어야되”말처럼 오줌을 강인한 마음으로 참은 적은 처음이네요 ㅎㅎ
10,아쿠아맨 CG가 애들 장난 처럼 느껴지는 대박 사실적인 몰입감에 흠뻑 젖게 만드는....역시 카메론 감독닙~!
10,처음 시작부터 웅장합니다 역시 돌비~ 전투신보다는 확실히 영상미에 집중해서 보시는걸 추천드립니다~
10,기대만큼 재미있었습니다 강추합니다
7,화려한 볼거리는 확실하지만 내용은 뻔하고 정직한 디즈니 느낌
10,"평점 왜이래 10점도 모자라,,,??"
6,수중씬 그래픽은 훌륭하나러닝타임 너무 길고 스토리도 진부함 1편이 침략서사가 진부하다며 가족 테마를 섞었다던데두 개가 합쳐져서 진짜 진부해짐...3편은 안 볼듯
10,꿀잼꿀잼 시간가는줄 모르고 봤어요
8,엄.... 환상적인 배경에서의 발암의 연속이랄까요. 아바타1땐 제이크에 동조해서 보는 재미가 있었는데 2에서는 아이들이 자꾸 말 안듣고 하니 답답하더라고요. 심지어 저번엔 제이크가 맞서 싸우는게 멋있기라도 했는데 이번엔 계속 피해다니기만 하고.... 새로운 부족이 전쟁때 크게 활약한것도 없었고요.스파이더의 행동도 이해가 가지 않았습니다.빌런은 또 나왔냐 싶고 3편에 또 나올 것 같아서 벌써부터 지겹습니다.구성이 너무 똑같아요ㅠ네이티리가 남편을 잘못 만나 고생이다 싶은 생각까지 들었달까요ㅋㅋ3시간이 지루하진 않았지만 13년의 기다림이 아쉬운 스토리였습니다.차라리 3편 4편 5편이 빨리 개봉되서 쭉 보고 싶을 정도로 이번 편은 1편처럼 깔끔한 느낌이 없고 떡밥만 풀어두는 느낌이라 아쉬움이 큽니다. 다만 3d 돌비로 한번 더 보고싶긴 해요. 영화관에서만 느낄 수 있는 영상미가 있어서요. 첫 관람은 4d로 봤는데 정신없어서 다시는 4d로 안보려고요...ㅎ
10,새로운 세계 영상이 다했다
10,"연출도 감정선도 완벽,,"
10,시즌1 만큼 재밌냐? 웅 미친 재밌다 !!! 고민하는 시간이 아깝습니다 . 시즌 1 내용 알고 가면 더 재밌어요. 시즌 1을 엄청 재밌게 본 사람 중 한명으로써 그만큼 기대하고 봤는데 기대에 정말 뺨치는 정도로 재밌게 봤습니다. 1이랑은 또 다른 재미였습니다!!내일 또 보라고 해도 볼 수 있을 듯 또 보러 가야지 !! ㅎㅎ 시즌 1 팬이라면 무조건 보러 가시죠 !!
10,아이맥스로 보세요
10,Imax 3D 보러 가야겠다
10,인생 최대업적:아바타 영화관에서 본 것
10,꼭쓰고싶었다 감상평을. 10여년을 기다린 보람이 있다 물론 흥행 논란이 있지만 난 매우 잘보았고 여윤이 남는다
10,와... 이게 영화지 ㅠㅠ 3도 내주세요
1,계속 졸음.. 억지로 깨느라 고생함
10,어릴 적 아바타1을 3D로 보고 엄청난 충격과 감동을 받았었는데요.. 과연 아바타2도 그럴 수 있을까? 싶었는데요.. 잠시 의심했던 저에게 회초리 한대 올리고 싶네요.. 3D로 보시는걸 추천해요~~
10,간만에 영화 돈 아깝지 않았습니다
10,다시 3D로볼예정입니다. 그정도로 돈이아깝지않습니다
10,3시간 이여서 그런지 중간에 루즈해진 시간이 있었고 결코 짧게 느껴지는 영화는 아니였습니다. 하지만 cg와 그들의 감정을 따라가다 보면 충분이 감동적인 영화였고 저는 눈물도 한 방울 흘렸습니다. 딱 한 방울.... 그리고 영화표 값이 아깝지는 않은 영화였습니다.2d로 봤는데 이정도였으면 3d로 보시면 더 좋을 것 같습니다.... 사실보다 더 사실 같은 cg...
10,내생애 다른 이런 영화가 있을까..
10,자연은 너무 아름답다... 인간이 문제야.... 인간이..
10,네이티리 배우분 연기 존나 잘하는 것 같다원래 발성이랑도 다른 것 같은데 찰떡임그리고 원주민 애들 왠지 모르겠는데 잘생겨보임 왜지 상대적으로 짧고 못난 인간들이랑 비교되서 그른가?
10,3D 의 놀라운 기술력. 극장에 가서 새로운 세계를 체험하고 옴.
9,다음 시리즈가 기대됩니다
10,한국영화가 넘을수 없는 벽이 있다는걸 다시 한번 느꼈다..
9,역시는 역시 3시간이라서 걱정했는데 시간 가는 줄 모르고 봄
8,솔직히 영화는 1이재밌다2는 감독이 우리 cg쩔지? 이런 느낌..쩔긴함 그게 다
6,뻔한 이야기 뻔한 결말.
10,인생영화 단한순간도 눈못떼고 감탄함
10,진짜로...영화관가서 1번보는게 아쉬운영화.. 제발 2번3번보세요 극장에 걸렸을때 ㅋㅋ
10,말이필요없다 진짜3시간 녹았다지루했다는 사람들은 가족 사랑이 뭔지 몰라서 지들 혼자 공감 못하는거같음
10,4D로 봐야됩니다~ 그래야 영화를 제대로 즐길 수 있어요:)~ 가격이 비싸긴하지만 만족해요!
10,영화끝나고 감탄사밖에 안나옴..
8,내용보단 영상미의 영화라 3d로 봄
4,그래픽이 좋아서 눈은 즐거웠으나 서사성이 너무 빈약해서 다소 실망함. 그리고 3시간은 너무 지루했음.
6,양으로 승부보겠다는 초라하고 특색없는 전개
10,그냥 보라는 말밖에 안나온다...
10,너무 재밌어서 3번이나 봤어요.. 다음 편 기대중
10,영화티켓 값 더 줘도 봅니다….
3,너무 재미없네요
10,"이 시대 최고의 영화, 미래에도 영원히."
10,제임스 카메론은 천재다. 내가 사는동안 이런영화를 보고 갈수있다니..
10,아름다운 영상과 인간적인 스토리.
4,그냥 4D관 가서 볼거 아니면 가지 마세요.진짜 시나리오 발로 만듬.. 억지 감동.. 영상미는 쫌 있었으나 빨리 끝나기를 바람
10,정말영화다운영화본것같아요
8,피는 물보다 진하다...
10,3D로 보지마세요. 3시간동안 보고있기엔 너무 어지러워요. 2D가 훨 화질도 좋고 보기 좋을겁니다.
10,"볼까말까 고민하다가 봤는데 진짜 3시간이 어떻게 지나갔는지 모를정도로 너무 재밌었고 감동적이었음! 이런 영화를 14,000원 주고 볼 수 있다는 게 감사한 생각이 들 정도.."
10,역시나 감동적이네요~~
10,압도되는 신비로움과 감탄의 연속..빼먹을 수 없는 감동까지…인생영화입니다.
10,올해 연말 최고의영화3d로 보세요
10,진짜 3시간 금방지나갑니다
2,나쁘지 않습니다 킬링타임용 ㅎ
10,눈이 너무 즐거워 행복했다
10,이게 재미없다는 사람들은 도대체 어떤영화가 재밌는지 모르겠다... 이런퀄리티의 영화가 감독의 머릿속에서 나왔다는 것에 그저 감탄할 뿐...
10,너무 좋았음 기다린 만큼 장면 하나하나 기억에 담았음
10,진짜 13년동안 영혼을 갈아 넣어 만들었네... 미쳤다 ㅜㅜ
10,이런 영화를 만들어줘서 고맙다
10,그냥 미쳤다라고 표현하겠습니다 인생영화
9,스토리는 조금 빈약했어요 3D로 봤는데 IMAX로 보면 더 웅장할 것 같아요 CG 미쳤고 중간엔 CG인줄 모르고 빠져들었습니당
10,"감상평을 안 쓰는데 이번 영화에는 남깁니다. 스토리와 영상, 액션 모두 뛰어난 명작이었습니다."
6,그냥 그랬어여..잘보았습니다
10,퀄리티미챴다 내용도 재밌었음 감동 ㅠ
10,"최고의 영화~ 그냥 끝내준다 시간 가는줄 모름 단, 보기전 화장실 필수"
8,이야기는 평범했지만 역시나 눈이 즐거운 영화 좀 더 큰 스크린으로 보지 못한것이 아쉽다.
10,눈이 즐거움 미쳤음 돈이 안 아까워 설리가족은하나다
8,영상은 압도적이지만 내용은 아쉬웠다.
9,영상이 매우 아름다워서 놀랐어요 스토리가 조금 지루해요
2,다큐멘터리가 더 재밌겠다.
8,"확실히 영상미와 cg는 진짜 훌륭했고, 특히나 바다의 모습이 너무 아름다웠습니다.근데 러닝타임이 확실히 체감이 되더라구요.."
8,아바타이타닉 잘봣어요(feat 쿨툰이나올때마다 울엇다고한다)
10,길긴했지만 개인적으로 1편만큼 재미있었음
10,"말이 필요없는 영상미와 cg, 그리고 액션씬들도 대단했다"
10,제작비 2조 이상 투입되었음을 체험할 수 있는 엄청난 분량의 CG가 모든 것을 말해준다. 화려하고 아름답고 신기하고 또 어떤 표현이 적합할까? 2번이상 볼 가치있는 명품
7,13년이 지난만큼 나무랄데 없는 기술력과 영상미 였지만 그로인해 늘어난 상영시간에 좀 힘들었습니다 ㅠ ㅠ 절제가 필요해요....
4,개연성 없음 스토리 저질감동 없음 스토리 없음 재미 없음
10,반드시 아이맥스나 돌비시네마에서 보세요. 돈안아깝습니다
8,IMAX 3D로 보았는데 클리쉐가 난무하고 여러장르 짜집기 되어있다. 유치하고 중간중간 지루하긴 해도 영상미하나 때문에 보러가기 충분하다. 2D로 볼거면 보지말것
10,아주 잘만든 영화 그냥 영상만 봐도 흐뭇
10,드래곤 길들이기 실사판 +나비와 고양이의 콜라보 실사판 + 제임스 카메룬 감독이 시공간여행자 라는게 탄로난 영화.실제를 보고 영화로 뻥쳐서 만들어 낸 작품.
10,최고!!!최고!!! 내 생애 최고의 영화 아바타!!!이런 영화 또 만들어 줘서 너무 고마워요 카메론 감독님 ~~~3시간이라는 시간이 절대 지루 하지 않습니다나중에 또 봐야지
8,주인공이 도망이 아니라 싸워야 한다는 걸 깨닫는데 3시간 넘게 걸림 ㅠㅠ
10,아바타 1안봤는데도 진짜 재밌었어요 3시간은 진짜... 갓
9,좋긴해도 3시간은 좀 빡세지 않나
9,추천~제임스카메룬 감독의 모든 장점이 집약된 영화!!
10,영상미 하나는 최고입니다가족영화로강추
10,3시간10분이 지겹지 않던데요? 순식간입니다 9.5점을 주고 싶네요 영상미는 최고이며 스토리도 나쁘지 않고 좋습니다.
10,3시간 넘는 시간이 순삭다른 말이 필요없음
8,세가지 스포일러1. 자 알 만들었다.2.주인공이 이긴다.3.3편은 무조건 나온다.
10,솔직히 스토리는 논외로 하고영상미가 진짜 대박입니다무조건 3D로 보십쇼
10,아따 둘째아들래미 말 조오온나 안들어처먹네
8,개인적으로 판타지 영화는 안좋아 하는데 아바타 1을 재미있게 본 경험이 있어서 오늘 부모님하고 봤어요. 영화안에 가정에 대한 소중함의 감정요소가 여러번 등장하는거 같았어요. 그리고 스케일은 정말로 커요. 한번쯤 보시면 괜찮을 거라고 생각해요 !!
10,10년에 한번 볼까 한 작품이다 가족에 사랑 동물과의 교감 모두 감동이다
10,바다와 해양생물 보호 그리고 인관과의 관계 부터 가족의 소중함까지 모두 완벽했고 보는 내내 영화에 빨려들어가는듯한 느낌 3시간이 1시간처럼 느껴졌고 지금 3번째 보는데 볼때마다 눈물이ㅠㅠ다음번엔 4D로 볼 계획 입니다
10,스토리가 뻔하면 어떠냐... 앞으로 10년 cg의 미래를 보여줬는데
10,진짜너무너무너무재밌는 영화 꼭 보세요 극장에서
10,최근 본 영화 중에 최고 영상미는 말할것도 없고눈이 즐거운 영화 단점은 좀 길다 끝두번 세번 볼 영화
7,1편은 전설이었고 그냥 거기서 끝냈으면 좋을뻔했다.. 우려했던데로 2편은 환경만 바뀐것일뿐 상당부분 스토리전개가 1편과 닮아있고 식상한면이 없지 않았다...이걸 어떻게 5편까지 끌고 갈지...시각효과도 거의 정점에 온게 아닐까 싶은데.. 암튼 기대보다 걱정이 앞서는게 사실..
6,영상미는 최고인데 시나리오는 13년동안 날려먹은듯
10,돈 아깝지 않다는 표현을 넘어서서 더 받는다 치더라도 충분히 수긍할수 있을거같다
10,3시간이 금방가더라 말해 뭐해~ 최고
7,"인간이 자연에 바치는 사랑, 존경, 그리고 사죄."
10,봤던 영화중 다섯 손가락 안에 드는 최고의 영화
10,시즌1만큼 재밌었고 영상미가 훌륭했습니다 3시간이 짧게 느껴질만큼 오랜만에 아주 재밌는 영화 관람한것 같아요!
8,아바타인데 왜 메가트론이 나오고 참치잡이가 나오는거냐고
10,영화가 줄수 있는 극한의 즐거움의 체험
10,투디로 봐서 한번 또 볼 예정
8,비주얼 하나는 진짜 끝내준다
10,13년 기다린 보람이 있어요
10,영상 넘 예쁘고 잘봤습니다^^
10,경이로움 무조건 돌비3d오 보는걸 추천
10,존나재밌다OO꼭보세요제발
10,미친거야... 일단 내용이 오져요.. 지루할 틈이 없어 그리고 너무 슬퍼 그리고 감정이입이 진짜 잘됨..사람들 다 씨쥐얘기만 하는디 당연히 씨지는 개쩔고 내용도개쩔어서 이건 안보는게 손해에요
10,나만울엇나ㅠㅠ앙앙앙앙
6,4D로 봤어요.관람시간도 길고 4D라서 의자가 계속 요동쳐서 멀미났어요.3시간 넘는 영화 ㅠㅠ
10,또보러가야지ㅋㅋㅋㅋ
10,10년만에 남편반차휴가내고 아바타 영화를 봤다 영상미가 넘 아름답고 감동적이고 둘다 재미있게 봤슴~♡
7,왕의 귀환이 아닌 왕의 몰락이지 않을까 하다하다 안되면 물량으로 매꾸는 느낌이 들기까지 하다.
10,황홀했다..최고 저는 스토리도 너무 완벽했다고 생각합니다.
10,말이필요없다.힐링그자체가족의 소중함
10,미쳤음 핵재밌음 지루할틈도 없음
10,확실히 거의 모든영화 시리즈 2편은 1편보단 항상 아쉬움 그래도 진짜 영상미 만큼은 역대급이라 생각합니다!
10,말 필요 없음 그냥 보셈 n번 보고 싶음
6,눈이 피로하다 퍼런거 그만 보고싶어짐
10,사실 나비족이 진짜 있는 것 아닐까
2,무슨 자연 가족애 다큐인줄 알았음..스토리 개연성도 없고 이건 뭐ㅋㅋㅋ보다 중간 중간 졸았음;;;
7,재미는 있는데 극장에서 보기엔 너무 좀이쑤씨고 후반에는 견디지 못해 잠까지 왔다 아바타는 vod로 보고 집에서 토탈리콜 에이리언2 인디펜던스 데이1 시청하는게 나을듯하다
10,13년 만에 나오는 속편.안보고 베기냐! 봐라 평점에 휘둘리지 말고
2,"어차피 마지막에 인간이랑 싸울거면서 제이크는 왜 다른부족들한테 도망간건지 이해가 안된다. 도망을 가도 들키는건 시간 문제였고 인간들은 광석보다 아예 침략을 원하는데 도망만가면 해결이 되나? 어차피 침략을 당하면 질게뻔한 원주민들인데, 맞서싸우든 공존을 위해 타협을 하든 부족장으로써 그냥 버리고 도망간다? 영화는 그저 물의 부족을 보여주기 위해 작위적인 상황을 보여준다. 거기에 위기감 조성을 위해 아이들은 말을 듣지 않는 빡대가리로 만든다. 계속 이런 서사이면 트랜스포머 꼴이 날것이다."
10,영상이 정말 예술이네요스토리도 나름 재미있게 봤어요
6,카메론이 남의돈으로 자기가 하고싶었던거 CG로 만든느낌. 물론 1도 스토리가 쩔었던건 아니지만 2는 최소한의 전개자체가 이해가 안감. 오로지 영상미 원툴 영화
10,정말 재미있어요멋있어요
10,"3,4를 위한 억지스러운 스토리. 하지만 영상미와 반가움. 그리고 재미만큼은 인정"
10,진짜 바닷속에서 주인공들과 헤엄치는 것 같아요. 자연 경관을 표현한 영상미가 너무 뛰어나고요. 스토리도 너무 감동적이어서 보는 내내 울었네요ㅠㅠ
6,화려한 영상미를 감상한다고 포장하기엔 너무 긴 러닝타임
10,"물의 길이라는 타이틀에 맞게물 위, 물 속 모두에서 아름다운 영상미가 1차 감동으로, 평범한 행복에 대한 소중함이 2차 감동으로 몰려온 영화!"
10,본인이 홍머병 걸린 방구석 비평가 아니면 봐도 됨
10,와 진짜 이건 cg에 돈 엄청 많이 들였겠다
10,에이와 느껴진다며!ㅠ살려내라고 우리 네테이얌!!!ㅠㅠㅠ
10,연출이 좋았다 영상미가 뛰어났다
8,스파이더 불쌍해서 마지막에 눈물이 날 뻔 했습니다어릴 적 부터 같은 가족으로 살아왔는데아들엔 아들!!! 이러면서 나쁜년이 스파이더 협박할때 넘 슬펐습니다
9,시각적으로는 최고인데 너무나 길어요
10,"중간까지 보다가 'ㅋ 이때쯤 슬플 요소 넣겠지 다알아 내가 속아줄줄아나?' 했는데 ㄹㅇ 구라안치고 """"울어라!!!!""""하는 부분에서 대성통곡하고 다 끝나고 영화관에서 불켜지면서도 훌쩍대니 옆에서 같이 본 아빠가 뭘 우냐하시길래'아니 나도 울생각없었어'를 말하려던게 갑자기 존나 북받쳐서 고라니가 비명지르듯이 울음내지름 누가보면 내가 토릌ㅋ맠토인줄"
10,바다속여행 가족의사랑
10,돈이 아깝지 않다후회가 없다당장 보아라!!!
10,살면서 가장 경이로웠다..
10,3시간동안 꿈과 환상의 나라에 와있는 기분이었음. 디너쇼 보다 아바타!어르신들 모시고 갔는데 엄청 좋아하심!
10,정확하게 5번 눈물 흘림
10,재미있어요 추천합니다
10,진짜로 13년의 기다림이 후회되지 않는 명작
10,9점 넘어야 될것같은데 왜 8.8밖에 안되는지 이해가 안됨… 오랜만에 본영화중에 최고였음
10,돈값은 충분히 한다고 봅니다. 영상미가 쩔어요. 스토리도 평범한듯하지만 짜임새도 괜찮고 감동도 있었습니다.
10,예술예술예술예술예술
1,그냥 재미가 없음. 리얼 지루함.
10,마지막에 울었어요.
2,세상 사람들 다 본다고 나도 꼭 봐야하는건 아니라는 교훈을 주는 영화. 쓸데없이 질질 끌면서 영상미를 핑계로 이야기는 늘어지고 돈만 쫓으면 나쁜놈이니 당해야되고 뻔한 내용 일색으로 3시간넘게 고문과 같은 시간이었음
10,한 번은 꼭 봐야하는 영화
9,"1편이상의 전투 스케일을 기대하고 봤지만 전편 중간정도 밖에....완전 4D, 아이맥스3D용 영화"
10,역시 카메론~~올해 잘 한 일 중에 하나가 이 영화를 개봉일에 3d로 본 것이여~
10,이건 백퍼 천만이다!!!
6,그래픽 현란한거 인정. 근데 1편에서 다 봤잖아~ 새롭지 않아 아쉽-.-
10,재밌음 근래 가장 재밌음 이런영화 좀 더만들어주세요
10,이 영화는 무조건 극장가서 봐야합니다. 좋든 싫든 가서 보세요.
10,눈이 아플정도로 화려하다
10,"나는 왜 이영화를 보고 운것인가... 주변에서 훌쩍훌쩍 거리는 소리가 들린것을 보면 혼자만 운것은 아닌것같다.... 슬프고 재미있고 감동적이고 다해 ...이 영화는 반드시 아이맥스 3D로 볼 것.. 진짜 정글에, 바다속에 있는 것 같다. 돈이 아깝지 않은 영화.. 또 보고싶다"
10,이건 무조건 3D로 보세요 진짜 물씬에서 레전드임내가 같이 헤엄치는것 같음
2,개노잼. 190분짜리 고문. 도대체 이게 왜 평점 8.8인지 의문임. 감상포인트 누를 게 없어서 OST눌렀음.다들 바다 좋다는데... 바다 너무 사랑해서 없으면 못 살 사람만 보는 거 추천함. 진심임. 본인 취미(잠수함 타고 바다 즐기기)를 우리한테 강제참여시키는데 정말 미치겠음. 모든 게 특별하면 아무것도 특별하지 않다는 말을 체감시켜주는 영화. 바다말고 남는 게 없음.
10,수중씬이 너무 재밌었다
10,너무재밌게봄 3시간이안지루했음
4,너무 기댈 했나.. 일편때 놀라움과 충격에 비교하면...그저그런...
4,쥬라기공원 시리즈를 보는 듯 하였음.뻔한 연출과 뻔한 결말.1편 내용을 숲에서 바다로만 옮겨버림
10,13년 기다린만큼 보는내내 아바타빠돌이마냥 울컥울컥하고 심장이 벌렁벌렁하고 웅장이 가슴해지고 식은땀이났다. 3시간동안 다른세계 다녀온듯한 기분. 정말 황홀하고 몇번이고 다시 봐도 좋을 이 시대 최고의 영화다
9,영상미 만으로도 시간가는 줄 모르고 재밌게 봤습니다.
10,그저 살아생전에 아이맥스 3D로 아바타를 볼 수 있었음에 감사
9,2009년에는 우~~~와!!!! 2022년에는 우와!!
10,"언제나 앞서가며 새로움을 추구하는 카메론 감독에 대한 존경심이 솟구치는 영화였다.이미 만들어졌다는 3편 뿐아니라 4,5편도 제작할 수 있게 많이들 봐라."
4,너무 지루했다. 1편은 이정도로 질질 끌지 않았던거 같은데 넘 힘들었음
2,지루한 편이에요. 3D로 봤으면 좀 더 재밌었을지도...
6,그래픽 중요시하는 분은 맞을 듯.스토리는.. 그냥
2,진짜 최악보다가 탈주함 다들 보지마세요 탈주 처음해봄 ㄹㅇ
10,진짜 미친영화. 1안보고 봤는데도 이해 가능하고 3시간이 금방가는 듯한 몰입감
8,인간이 미안해....
10,역시 재밌습니다 꼭3D이상 상영관에서 보시길
10,정말 재밌어요 정말 강추 합니다 이영화 안보면 정말 후회 합니다 이영화 정말 재밌어요 돈 시간 낭비 안합니다 이영화 안보면 정말 후회 합니다 정말 추천 합니다 이영화 꼭보세요 정말 강추 합니다
10,영상미가 정말 훌륭한 영화입니다. 중간에 살짝 벅차올라서 눈물고였네요. 여행가서 좋은 풍경 보고 온 느낌과 비슷했어요. 아이맥스 3D로 보고왔는데 3D로 보시기 추천합니다.
10,내용을 떠나 감성이 풍부하신분은 꼭 3D로 보세요 돈 안아깝습니다
10,한 번 더볼거에요 최고입니다!
9,"13년을 기다릴 만한 기술력, 웅장함에 매료되다."
10,진짜 재밌어요.밀덕들이 보면 환장함.근데 막내때문에 암걸려서 OO뻔
10,가족과 관련된 스토리로 다음 내용이 어떻게 매듭될까 궁금하기도했고 cg가 넘 좋아서 꼭 극장에서 봐야할 영화~ 3d로 다시 봐보려구요~~완전재밌었어요 딸하고 같이 봤는데 3시간 이상 잘보더라구요
10,이런 영화다운 영화을 본 게 얼마만인지… 너무 감동적이엇어요
10,복선이랑 스토리가 너무 좋았어요...간혹 답답한 장면이 나오긴 했는데 뭐 견딜만 했음
10,기다린보람이 있네요 최고
9,영상 하나만으로도 영화비가 아깝지않은 영화아바타행성가서 직접 찍고 온거같음
10,세계관이 정말 감탄스러워요
8,영상미는 훌륭한데 스토리는 쏘쏘
10,정말 대단한 영화 감동적이였고 돈이 절대 아깝지 않았던 영화3시간이 정말 짧게 느껴졌음
10,"So touching, beautiful.."
10,굳굳굳~~~~@@@@
8,"초반 2시간은 정말 지루했는데 전투씬이 시작된 후부터는 정말 흥미로웠다. 나는 3d 영화가 안 맞는지 보는 내내 머리가 아팠지만, 영화 자체는 퀄리티가 정말 좋으니 한번쯤 볼만하다고 생각한다. 후반부에 감동 포인트도 꽤나 있으니 기대하고 보셔도 좋을 듯."
1,한국영화들이 더 나은듯한..
10,한층 더 업그레이드 된 CG로 돌아온 제대로 된 속편
4,그래픽만 볼만했습니다
10,그냥 보세요 미쳤어요 그냥..영화를 넘어섰습니다
10,3d로 다시보고싶네요
10,"기다린 보람이 있었음, 스토리가 뻔해도 재밌다!!"
5,기대가 너무 컷네요~ 1편을 뛰어넘는 2편은 없네요~
8,우음.. 아바타 어벤져스 보는 느낌..?스토리가 흠1편을 넘어설수는 없는것같아요
10,가서 볼 가치 만퍼센트임
10,무엇이 CG인지 모를 정도로 영상미가 뛰어납니다. 영상의 웅장함에 압도되고 스토리에 몰입되어 3시간이라는 시간이 지루하지 않았습니다.그리고 저한테 아바타1은 91년작 '늑대와 춤을' 보았을때 받았던 느낌과 같았다면 아바타2 는 92년작 '파워 오브 원' 을 보았을때 받았던 감동과 여운이 전체적으로 같았습니다.이런 스타일을 안좋아하는분은 3시간이 지루할수도 있습니다.저는 이런 스토리와 영상을 좋아해서 다른분에게 추천해드리고 싶은 영화입니다.
10,툴쿤을 내가 탄줄 ㅎㅎㅎ
5,영화 보다가 잤음꿀잠자도 넉넉한 상영시간 피곤에 지치신분 강추~
6,쥐여짜려다 멈춘 신파. 스토리 엉성. 그냥 3d의 향연인데 1편보다 미친듯이 좋았다?? 노우 1편도 좋았다. 스토리 1편이 좋았다. 개연성 1편이 좋았다. 형만한 아우 없더라..
10,"시간 가는 줄 모르고 봤습니다. 실제 있는 장소와 배경, 인물, 동물 같았음. 아니 우주 어딘가 진짜로 있을지도"
10,스토리는 1편보다 단순하고 다소 예견되는 줄거리다. 근데 3d 대화면으로 봐서 그런지 몰라도 화면에서 눈을 뗄수가 없었다. 영상미가 압권‥ 인생영화 추가.
10,눈물 흘리면서 봤다 진짜...뻔할뻔짜 잘스까서 만들었는데 아는맛이 무섭다고 조미료 좀 바꾸니까 끝내주네처음먹어보는 메뉴인줄알았다..나는 아마 앞으로 세번정도 더 볼예정인데 지금 성인용 기저귀 주문중이다영화 길게 만들었다는데 긴줄 잘 모르겠고 끝나고 나오는데 너무 아쉽더라
7,"영상미 최고, 스토리 빈약..."
10,메가박스 시네마뷰 3D 영상 퀄리티가 너무 사실적이라 마치 그들과 함께 있는듯 착각할 정도에요 감동입니다
